Order,a,b,c,RangeStart,RangeEnd
1,0,0.782355,0.0709509,0.505129,0.506106
1,0,0.780928,0.071674,0.507084,0.508061
1,0,0.779498,0.072401,0.509038,0.510015
1,0,0.778067,0.0731318,0.510992,0.511969
1,0,0.776633,0.0738664,0.512946,0.513923
1,0,0.775198,0.0746048,0.5149,0.515877
1,0,0.773761,0.075347,0.516854,0.517831
1,0,0.772321,0.076093,0.518808,0.519785
1,0,0.77088,0.0768428,0.520762,0.521739
1,0,0.769437,0.0775964,0.522716,0.523693
1,0,0.767992,0.0783538,0.52467,0.525647
1,0,0.766546,0.0791149,0.526624,0.527601
1,0,0.765097,0.0798797,0.528578,0.529555
1,0,0.763647,0.0806483,0.530532,0.53151
1,0,0.762196,0.0814207,0.532487,0.533464
1,0,0.760742,0.0821967,0.534441,0.535418
1,0,0.759287,0.0829765,0.536395,0.537372
1,0,0.75783,0.08376,0.538349,0.539326
1,0,0.756372,0.0845472,0.540303,0.54128
1,0,0.754912,0.0853381,0.542257,0.543234
1,0,0.753451,0.0861327,0.544211,0.545188
1,0,0.751988,0.0869309,0.546165,0.547142
1,0,0.750524,0.0877328,0.548119,0.549096
1,0,0.749058,0.0885384,0.550073,0.55105
1,0,0.747591,0.0893476,0.552027,0.553004
1,0,0.746122,0.0901604,0.553981,0.554958
1,0,0.744652,0.0909769,0.555936,0.556913
1,0,0.743181,0.0917969,0.55789,0.558867
1,0,0.741708,0.0926206,0.559844,0.560821
1,0,0.740235,0.0934479,0.561798,0.562775
1,0,0.73876,0.0942788,0.563752,0.564729
1,0,0.737283,0.0951132,0.565706,0.566683
1,0,0.735806,0.0959512,0.56766,0.568637
1,0,0.734327,0.0967927,0.569614,0.570591
1,0,0.732847,0.0976378,0.571568,0.572545
1,0,0.731366,0.0984864,0.573522,0.574499
1,0,0.729884,0.0993385,0.575476,0.576453
1,0,0.728401,0.100194,0.57743,0.578407
1,0,0.726917,0.101053,0.579384,0.580362
1,0,0.725432,0.101916,0.581339,0.582316
1,0,0.723946,0.102782,0.583293,0.58427
1,0,0.722459,0.103652,0.585247,0.586224
1,0,0.720971,0.104525,0.587201,0.588178
1,0,0.719482,0.105401,0.589155,0.590132
1,0,0.717993,0.106281,0.591109,0.592086
1,0,0.716502,0.107164,0.593063,0.59404
1,0,0.715011,0.108051,0.595017,0.595994
1,0,0.713519,0.108941,0.596971,0.597948
1,0,0.712026,0.109834,0.598925,0.599902
1,0,0.710532,0.110731,0.600879,0.601856
1,0,0.709038,0.111631,0.602833,0.60381
1,0,0.707543,0.112535,0.604787,0.605765
1,0,0.706047,0.113441,0.606742,0.607719
1,0,0.704551,0.114351,0.608696,0.609673
1,0,0.703054,0.115265,0.61065,0.611627
1,0,0.701556,0.116181,0.612604,0.613581
1,0,0.700058,0.117101,0.614558,0.615535
1,0,0.698559,0.118025,0.616512,0.617489
1,0,0.69706,0.118951,0.618466,0.619443
1,0,0.69556,0.119881,0.62042,0.621397
1,0,0.69406,0.120814,0.622374,0.623351
1,0,0.69256,0.12175,0.624328,0.625305
1,0,0.691059,0.122689,0.626282,0.627259
1,0,0.689558,0.123631,0.628236,0.629213
1,0,0.688056,0.124577,0.630191,0.631168
1,0,0.686554,0.125526,0.632145,0.633122
1,0,0.685051,0.126478,0.634099,0.635076
1,0,0.683549,0.127433,0.636053,0.63703
1,0,0.682046,0.128391,0.638007,0.638984
1,0,0.680543,0.129352,0.639961,0.640938
1,0,0.679039,0.130316,0.641915,0.642892
1,0,0.677536,0.131284,0.643869,0.644846
1,0,0.676032,0.132254,0.645823,0.6468
1,0,0.674528,0.133228,0.647777,0.648754
1,0,0.673024,0.134204,0.649731,0.650708
1,0,0.67152,0.135184,0.651685,0.652662
1,0,0.670016,0.136166,0.653639,0.654617
1,0,0.668512,0.137151,0.655594,0.656571
1,0,0.666255,0.138635,0.658525,0.659502
1,0,0.664751,0.139628,0.660479,0.661456
1,0,0.663247,0.140624,0.662433,0.66341
1,0,0.661743,0.141622,0.664387,0.665364
1,0,0.660239,0.142624,0.666341,0.667318
1,0,0.658735,0.143628,0.668295,0.669272
1,0,0.657231,0.144635,0.670249,0.671226
1,0,0.655727,0.145645,0.672203,0.67318
1,0,0.654224,0.146658,0.674157,0.675134
1,0,0.65272,0.147674,0.676111,0.677088
1,0,0.651217,0.148693,0.678065,0.679043
1,0,0.649714,0.149714,0.68002,0.680997
1,0,0.648211,0.150738,0.681974,0.682951
1,0,0.646709,0.151765,0.683928,0.684905
1,0,0.645207,0.152794,0.685882,0.686859
1,0,0.643705,0.153827,0.687836,0.688813
1,0,0.642204,0.154861,0.68979,0.690767
1,0,0.640702,0.155899,0.691744,0.692721
1,0,0.639202,0.156939,0.693698,0.694675
1,0,0.637701,0.157982,0.695652,0.696629
1,0,0.636202,0.159028,0.697606,0.698583
1,0,0.634702,0.160076,0.69956,0.700537
1,0,0.633203,0.161127,0.701514,0.702491
1,0,0.631705,0.16218,0.703468,0.704446
1,0,0.630207,0.163236,0.705423,0.7064
1,0,0.628709,0.164295,0.707377,0.708354
1,0,0.627212,0.165356,0.709331,0.710308
1,0,0.625716,0.16642,0.711285,0.712262
1,0,0.62422,0.167486,0.713239,0.714216
1,0,0.622725,0.168554,0.715193,0.71617
1,0,0.62123,0.169625,0.717147,0.718124
1,0,0.619737,0.170699,0.719101,0.720078
1,0,0.618243,0.171775,0.721055,0.722032
1,0,0.616751,0.172853,0.723009,0.723986
1,0,0.615259,0.173934,0.724963,0.72594
1,0,0.613768,0.175017,0.726917,0.727894
1,0,0.612278,0.176103,0.728872,0.729849
1,0,0.610788,0.177191,0.730826,0.731803
1,0,0.609299,0.178281,0.73278,0.733757
1,0,0.607811,0.179374,0.734734,0.735711
1,0,0.606324,0.180468,0.736688,0.737665
1,0,0.604838,0.181566,0.738642,0.739619
1,0,0.603352,0.182665,0.740596,0.741573
1,0,0.601867,0.183767,0.74255,0.743527
1,0,0.600384,0.184871,0.744504,0.745481
1,0,0.598901,0.185977,0.746458,0.747435
1,0,0.597419,0.187085,0.748412,0.749389
1,0,0.595938,0.188196,0.750366,0.751343
1,0,0.594458,0.189308,0.75232,0.753298
1,0,0.592979,0.190423,0.754275,0.755252
1,0,0.591501,0.19154,0.756229,0.757206
1,0,0.590024,0.192659,0.758183,0.75916
1,0,0.588548,0.19378,0.760137,0.761114
1,0,0.587073,0.194904,0.762091,0.763068
1,0,0.585599,0.196029,0.764045,0.765022
1,0,0.584127,0.197156,0.765999,0.766976
1,0,0.582655,0.198286,0.767953,0.76893
1,0,0.581185,0.199417,0.769907,0.770884
1,0,0.579715,0.200551,0.771861,0.772838
1,0,0.578247,0.201686,0.773815,0.774792
1,0,0.57678,0.202823,0.775769,0.776746
1,0,0.575314,0.203963,0.777723,0.778701
1,0,0.57385,0.205104,0.779678,0.780655
1,0,0.572386,0.206247,0.781632,0.782609
1,0,0.570924,0.207392,0.783586,0.784563
1,0,0.569463,0.208539,0.78554,0.786517
1,0,0.568003,0.209688,0.787494,0.788471
1,0,0.566545,0.210838,0.789448,0.790425
1,0,0.565088,0.211991,0.791402,0.792379
1,0,0.563632,0.213145,0.793356,0.794333
1,0,0.562178,0.214301,0.79531,0.796287
1,0,0.560725,0.215459,0.797264,0.798241
1,0,0.559273,0.216618,0.799218,0.800195
1,0,0.557822,0.21778,0.801172,0.802149
1,0,0.556374,0.218943,0.803127,0.804104
1,0,0.554926,0.220107,0.805081,0.806058
1,0,0.55348,0.221274,0.807035,0.808012
1,0,0.552035,0.222442,0.808989,0.809966
1,0,0.550592,0.223612,0.810943,0.81192
1,0,0.54915,0.224783,0.812897,0.813874
1,0,0.54771,0.225956,0.814851,0.815828
1,0,0.546271,0.22713,0.816805,0.817782
1,0,0.544834,0.228306,0.818759,0.819736
1,0,0.543398,0.229484,0.820713,0.82169
1,0,0.541964,0.230663,0.822667,0.823644
1,0,0.540531,0.231844,0.824621,0.825598
1,0,0.5391,0.233026,0.826575,0.827553
1,0,0.53767,0.23421,0.82853,0.829507
1,0,0.536242,0.235395,0.830484,0.831461
1,0,0.534816,0.236582,0.832438,0.833415
1,0,0.533391,0.23777,0.834392,0.835369
1,0,0.531968,0.23896,0.836346,0.837323
1,0,0.530546,0.24015,0.8383,0.839277
1,0,0.529127,0.241343,0.840254,0.841231
1,0,0.527708,0.242537,0.842208,0.843185
1,0,0.526292,0.243732,0.844162,0.845139
1,0,0.524877,0.244928,0.846116,0.847093
1,0,0.523464,0.246126,0.84807,0.849047
1,0,0.522053,0.247325,0.850024,0.851001
1,0,0.520643,0.248525,0.851979,0.852956
1,0,0.519235,0.249727,0.853933,0.85491
1,0,0.517829,0.250929,0.855887,0.856864
1,0,0.516425,0.252133,0.857841,0.858818
1,0,0.515022,0.253339,0.859795,0.860772
1,0,0.513621,0.254545,0.861749,0.862726
1,0,0.512222,0.255753,0.863703,0.86468
1,0,0.510825,0.256962,0.865657,0.866634
1,0,0.50943,0.258172,0.867611,0.868588
1,0,0.508036,0.259383,0.869565,0.870542
1,0,0.506644,0.260595,0.871519,0.872496
1,0,0.505255,0.261808,0.873473,0.87445
1,0,0.503867,0.263023,0.875427,0.876404
1,0,0.50248,0.264238,0.877382,0.878359
1,0,0.501096,0.265455,0.879336,0.880313
1,0,0.499714,0.266672,0.88129,0.882267
1,0,0.498334,0.267891,0.883244,0.884221
1,0,0.496955,0.26911,0.885198,0.886175
1,0,0.495579,0.270331,0.887152,0.888129
1,0,0.494204,0.271552,0.889106,0.890083
1,0,0.492831,0.272775,0.89106,0.892037
1,0,0.491461,0.273998,0.893014,0.893991
1,0,0.490092,0.275222,0.894968,0.895945
1,0,0.488725,0.276447,0.896922,0.897899
1,0,0.48736,0.277673,0.898876,0.899853
1,0,0.485998,0.2789,0.90083,0.901808
1,0,0.484637,0.280128,0.902785,0.903762
1,0,0.483278,0.281357,0.904739,0.905716
1,0,0.481922,0.282586,0.906693,0.90767
1,0,0.480567,0.283816,0.908647,0.909624
1,0,0.479214,0.285047,0.910601,0.911578
1,0,0.477864,0.286279,0.912555,0.913532
1,0,0.476516,0.287512,0.914509,0.915486
1,0,0.475169,0.288745,0.916463,0.91744
1,0,0.473825,0.289979,0.918417,0.919394
1,0,0.472483,0.291214,0.920371,0.921348
1,0,0.471143,0.292449,0.922325,0.923302
1,0,0.469805,0.293685,0.924279,0.925256
1,0,0.468469,0.294922,0.926234,0.927211
1,0,0.467135,0.296159,0.928188,0.929165
1,0,0.465803,0.297397,0.930142,0.931119
1,0,0.464474,0.298635,0.932096,0.933073
1,0,0.463147,0.299874,0.93405,0.935027
1,0,0.461821,0.301114,0.936004,0.936981
1,0,0.460498,0.302354,0.937958,0.938935
1,0,0.459178,0.303595,0.939912,0.940889
1,0,0.457859,0.304837,0.941866,0.942843
1,0,0.456543,0.306078,0.94382,0.944797
1,0,0.455228,0.307321,0.945774,0.946751
1,0,0.453916,0.308563,0.947728,0.948705
1,0,0.452607,0.309807,0.949682,0.95066
1,0,0.451299,0.31105,0.951637,0.952614
1,0,0.449994,0.312295,0.953591,0.954568
1,0,0.44869,0.313539,0.955545,0.956522
1,0,0.44739,0.314784,0.957499,0.958476
1,0,0.446091,0.31603,0.959453,0.96043
1,0,0.444794,0.317275,0.961407,0.962384
1,0,0.4435,0.318521,0.963361,0.964338
1,0,0.442209,0.319768,0.965315,0.966292
1,0,0.440919,0.321015,0.967269,0.968246
1,0,0.439632,0.322262,0.969223,0.9702
1,0,0.438347,0.323509,0.971177,0.972154
1,0,0.437064,0.324757,0.973131,0.974108
1,0,0.435783,0.326004,0.975085,0.976063
1,0,0.434505,0.327253,0.97704,0.978017
1,0,0.433229,0.328501,0.978994,0.979971
1,0,0.431956,0.32975,0.980948,0.981925
1,0,0.430685,0.330998,0.982902,0.983879
1,0,0.429416,0.332247,0.984856,0.985833
1,0,0.428149,0.333497,0.98681,0.987787
1,0,0.426885,0.334746,0.988764,0.989741
1,0,0.425623,0.335996,0.990718,0.991695
1,0,0.424364,0.337245,0.992672,0.993649
1,0,0.423107,0.338495,0.994626,0.995603
1,0,0.421852,0.339745,0.99658,0.997557
1,0,0.420443,0.341151,0.998534,1
1,0,0.420365,0.341229,0.998779,1
