GroupID,Length,BaseStart,BaseEnd,FitMethod,FitA,FitB,FitC,BitWidth,ScaleFactor,DeltaEncodings
10,7.327798e-03,4.025403e-01,4.098681e-01,L,0.000000e+00,7.845167e-01,3.186610e-01,2,7.327797e-03,"0:0.000000e+00:1:1"
11,7.816318e-03,4.171959e-01,4.250122e-01,L,0.000000e+00,7.705130e-01,3.244522e-01,2,1.563263e-02,"0:0.000000e+00:1:1;0:0.000000e+00:1:1"
12,8.304837e-03,4.406448e-01,4.489497e-01,L,0.000000e+00,7.497107e-01,3.334547e-01,2,8.304836e-03,"0:0.000000e+00:1:1"
13,8.793357e-03,4.572545e-01,4.660479e-01,L,0.000000e+00,7.358985e-01,3.397130e-01,2,1.758671e-02,"0:0.000000e+00:1:1;0:0.000000e+00:1:1"
14,9.281877e-03,4.836346e-01,4.929165e-01,L,0.000000e+00,7.155540e-01,3.493717e-01,2,9.281876e-03,"0:0.000000e+00:1:1"
15,9.770397e-03,5.021983e-01,5.119687e-01,L,0.000000e+00,7.004675e-01,3.569024e-01,2,9.770396e-03,"0:0.000000e+00:1:1"
16,1.025892e-02,5.217391e-01,5.319980e-01,L,0.000000e+00,6.871723e-01,3.638076e-01,1,1.000000e+00,""
17,1.074744e-02,5.319980e-01,5.427455e-01,L,0.000000e+00,6.803790e-01,3.674400e-01,2,1.074744e-02,"0:0.000000e+00:1:1"
18,1.123596e-02,5.534929e-01,5.647289e-01,L,0.000000e+00,6.670128e-01,3.748031e-01,2,1.123596e-02,"0:0.000000e+00:1:1"
19,1.172448e-02,5.759648e-01,5.876893e-01,L,0.000000e+00,6.538577e-01,3.823438e-01,1,1.000000e+00,""
20,1.221300e-02,5.876893e-01,5.999023e-01,L,0.000000e+00,6.472010e-01,3.862762e-01,2,1.221299e-02,"0:0.000000e+00:1:1"
21,1.270152e-02,6.121153e-01,6.248168e-01,L,0.000000e+00,6.341638e-01,3.942173e-01,1,1.000000e+00,""
22,1.319004e-02,6.248168e-01,6.380068e-01,L,0.000000e+00,6.276016e-01,3.983392e-01,2,1.319003e-02,"0:0.000000e+00:1:1"
23,1.367855e-02,6.511969e-01,6.648754e-01,L,0.000000e+00,6.147819e-01,4.066456e-01,1,1.000000e+00,""
24,1.416707e-02,6.648754e-01,6.790425e-01,L,0.000000e+00,6.083571e-01,4.109400e-01,1,1.000000e+00,""
25,1.465559e-02,6.790425e-01,6.936981e-01,L,0.000000e+00,6.019165e-01,4.153371e-01,1,1.000000e+00,""
26,1.514411e-02,6.936981e-01,7.088422e-01,L,0.000000e+00,5.954698e-01,4.198336e-01,1,1.000000e+00,""
27,1.563263e-02,7.088422e-01,7.244748e-01,L,0.000000e+00,5.890261e-01,4.244263e-01,1,1.000000e+00,""
28,1.612115e-02,7.244748e-01,7.405960e-01,L,0.000000e+00,5.825938e-01,4.291122e-01,1,1.000000e+00,""
29,1.660967e-02,7.405960e-01,7.572057e-01,L,0.000000e+00,5.761808e-01,4.338883e-01,1,1.000000e+00,""
30,1.709819e-02,7.572057e-01,7.743039e-01,L,0.000000e+00,5.697942e-01,4.387515e-01,1,1.000000e+00,""
31,1.758671e-02,7.743039e-01,7.918906e-01,L,0.000000e+00,5.634405e-01,4.436991e-01,1,1.000000e+00,""
32,1.807523e-02,7.918906e-01,8.099658e-01,L,0.000000e+00,5.571257e-01,4.487282e-01,1,1.000000e+00,""
33,1.856375e-02,8.099658e-01,8.285296e-01,L,0.000000e+00,5.508552e-01,4.538362e-01,1,1.000000e+00,""
34,1.905227e-02,8.285296e-01,8.475818e-01,L,0.000000e+00,5.446339e-01,4.590203e-01,1,1.000000e+00,""
35,2.002931e-02,8.475818e-01,8.676111e-01,L,0.000000e+00,5.383518e-01,4.643765e-01,1,1.000000e+00,""
36,2.051783e-02,8.676111e-01,8.881290e-01,L,0.000000e+00,5.320980e-01,4.698343e-01,1,1.000000e+00,""
37,2.100635e-02,8.881290e-01,9.091353e-01,L,0.000000e+00,5.259150e-01,4.753580e-01,1,1.000000e+00,""
38,2.198339e-02,9.091353e-01,9.311187e-01,L,0.000000e+00,5.197026e-01,4.810401e-01,1,1.000000e+00,""
39,2.247191e-02,9.311187e-01,9.535906e-01,L,0.000000e+00,5.135397e-01,4.868130e-01,1,1.000000e+00,""
40,2.296043e-02,9.770396e-01,1.000000e+00,L,0.000000e+00,5.014433e-01,4.985567e-01,1,1.000000e+00,""
41,2.344895e-02,9.535906e-01,9.770396e-01,L,0.000000e+00,5.073676e-01,4.927349e-01,1,1.000000e+00,""
