ParamsID,Order,a,b,c,IntervalIndices,Offsets
234,1,0,8.72922,-3.16668,"234","0"
235,1,0,8.69216,-3.16242,"235","0"
236,1,0,8.6554,-3.15819,"236","0"
237,1,0,8.61896,-3.15397,"237","0"
238,1,0,8.58282,-3.14976,"238","0"
239,1,0,8.54699,-3.14558,"239","0"
240,1,0,8.51145,-3.14141,"240","0"
241,1,0,8.4762,-3.13726,"241","0"
242,1,0,8.44125,-3.13313,"242","0"
243,1,0,8.40658,-3.12902,"243","0"
244,1,0,8.3722,-3.12492,"244","0"
245,1,0,8.3381,-3.12084,"245","0"
246,1,0,8.30427,-3.11677,"246","0"
247,1,0,8.27072,-3.11272,"247","0"
248,1,0,8.23744,-3.10869,"248","0"
249,1,0,8.20442,-3.10468,"249","0"
250,1,0,8.17167,-3.10067,"250","0"
251,1,0,8.13918,-3.09669,"251","0"
252,1,0,8.10694,-3.09272,"252","0"
253,1,0,8.07496,-3.08877,"253","0"
254,1,0,8.04323,-3.08483,"254","0"
255,1,0,8.01175,-3.08091,"255","0"
256,1,0,7.98052,-3.07701,"256","0"
257,1,0,7.94952,-3.07311,"257","0"
258,1,0,7.91877,-3.06924,"258","0"
259,1,0,7.88826,-3.06538,"259","0"
260,1,0,7.85798,-3.06153,"260","0"
261,1,0,7.82793,-3.0577,"261","0"
262,1,0,7.7981,-3.05388,"262","0"
263,1,0,7.76851,-3.05008,"263","0"
264,1,0,7.73914,-3.04629,"264","0"
265,1,0,7.70999,-3.04252,"265","0"
266,1,0,7.68106,-3.03876,"266","0"
267,1,0,7.65235,-3.03501,"267","0"
268,1,0,7.62384,-3.03128,"268","0"
269,1,0,7.59556,-3.02757,"269","0"
270,1,0,7.56748,-3.02386,"270","0"
271,1,0,7.5396,-3.02017,"271","0"
272,1,0,7.51194,-3.01649,"272","0"
273,1,0,7.48447,-3.01283,"273","0"
274,1,0,7.4572,-3.00918,"274","0"
275,1,0,7.43014,-3.00555,"275","0"
276,1,0,7.40326,-3.00192,"276","0"
277,1,0,7.37658,-2.99831,"277","0"
278,1,0,7.3501,-2.99472,"278","0"
279,1,0,7.3238,-2.99113,"279","0"
280,1,0,7.29769,-2.98756,"280","0"
281,1,0,7.27177,-2.984,"281","0"
282,1,0,7.24603,-2.98045,"282","0"
283,1,0,7.22047,-2.97692,"283","0"
284,1,0,7.19509,-2.9734,"284","0"
285,1,0,7.16988,-2.96989,"285","0"
286,1,0,7.14486,-2.96639,"286","0"
287,1,0,7.12001,-2.96291,"287","0"
288,1,0,7.09533,-2.95944,"288","0"
289,1,0,7.07082,-2.95598,"289","0"
290,1,0,7.04648,-2.95253,"290","0"
291,1,0,7.02231,-2.94909,"291","0"
292,1,0,6.9983,-2.94567,"292","0"
293,1,0,6.97445,-2.94226,"293","0"
294,1,0,6.95077,-2.93885,"294","0"
295,1,0,6.92725,-2.93546,"295","0"
296,1,0,6.90389,-2.93209,"296","0"
297,1,0,6.88068,-2.92872,"297","0"
298,1,0,6.85763,-2.92536,"298","0"
299,1,0,6.83473,-2.92202,"299","0"
300,1,0,6.81199,-2.91869,"300","0"
301,1,0,6.78939,-2.91536,"301","0"
302,1,0,6.76695,-2.91205,"302","0"
303,1,0,6.74465,-2.90875,"303","0"
304,1,0,6.7225,-2.90546,"304","0"
305,1,0,6.7005,-2.90218,"305","0"
306,1,0,6.67864,-2.89892,"306","0"
307,1,0,6.65692,-2.89566,"307","0"
308,1,0,6.63534,-2.89241,"308","0"
309,1,0,6.6139,-2.88917,"309","0"
310,1,0,6.5926,-2.88595,"310","0"
311,1,0,6.57143,-2.88273,"311","0"
312,1,0,6.55041,-2.87953,"312","0"
313,1,0,6.52951,-2.87633,"313","0"
314,1,0,6.50875,-2.87315,"314","0"
315,1,0,6.48812,-2.86997,"315","0"
316,1,0,6.46762,-2.86681,"316","0"
317,1,0,6.44725,-2.86365,"317","0"
318,1,0,6.42701,-2.86051,"318","0"
319,1,0,6.40689,-2.85738,"319","0"
320,1,0,6.3869,-2.85425,"320","0"
321,1,0,6.36703,-2.85114,"321","0"
322,1,0,6.34729,-2.84803,"322","0"
323,1,0,6.32767,-2.84493,"323","0"
324,1,0,6.30817,-2.84185,"324","0"
325,1,0,6.28879,-2.83877,"325","0"
326,1,0,6.26953,-2.8357,"326","0"
327,1,0,6.25039,-2.83264,"327","0"
328,1,0,6.23136,-2.8296,"328","0"
329,1,0,6.21245,-2.82656,"329","0"
330,1,0,6.19365,-2.82353,"330","0"
331,1,0,6.17497,-2.8205,"331","0"
332,1,0,6.1564,-2.81749,"332","0"
333,1,0,6.13794,-2.81449,"333","0"
334,1,0,6.11959,-2.8115,"334","0"
335,1,0,6.10135,-2.80851,"335","0"
336,1,0,6.08321,-2.80553,"336","0"
337,1,0,6.06519,-2.80257,"337","0"
338,1,0,6.04727,-2.79961,"338","0"
339,1,0,6.02946,-2.79666,"339","0"
340,1,0,6.01175,-2.79372,"340","0"
341,1,0,5.99415,-2.79078,"341","0"
342,1,0,5.97665,-2.78786,"342","0"
343,1,0,5.95925,-2.78495,"343","0"
344,1,0,5.94195,-2.78204,"344","0"
345,1,0,5.92475,-2.77914,"345","0"
346,1,0,5.90765,-2.77625,"346","0"
347,1,0,5.89065,-2.77337,"347","0"
348,1,0,5.87375,-2.77049,"348","0"
349,1,0,5.85694,-2.76763,"349","0"
350,1,0,5.84023,-2.76477,"350","0"
351,1,0,5.82362,-2.76192,"351","0"
352,1,0,5.8071,-2.75908,"352","0"
353,1,0,5.79067,-2.75625,"353","0"
354,1,0,5.77433,-2.75342,"354","0"
355,1,0,5.75809,-2.75061,"355","0"
356,1,0,5.74194,-2.7478,"356","0"
357,1,0,5.72588,-2.745,"357","0"
358,1,0,5.70991,-2.7422,"358","0"
359,1,0,5.69402,-2.73942,"359","0"
360,1,0,5.67823,-2.73664,"360","0"
361,1,0,5.66252,-2.73387,"361","0"
362,1,0,5.6469,-2.73111,"362","0"
363,1,0,5.63137,-2.72835,"363","0"
364,1,0,5.61592,-2.72561,"364","0"
365,1,0,5.60055,-2.72287,"365","0"
366,1,0,5.58527,-2.72013,"366","0"
367,1,0,5.57007,-2.71741,"367","0"
368,1,0,5.55496,-2.71469,"368","0"
369,1,0,5.53992,-2.71198,"369","0"
370,1,0,5.52497,-2.70928,"370","0"
371,1,0,5.5101,-2.70658,"371","0"
372,1,0,5.49531,-2.7039,"372","0"
373,1,0,5.48059,-2.70121,"373","0"
374,1,0,5.46596,-2.69854,"374","0"
375,1,0,5.4514,-2.69587,"375","0"
376,1,0,5.43692,-2.69321,"376","0"
377,1,0,5.42252,-2.69056,"377","0"
378,1,0,5.40819,-2.68792,"378","0"
379,1,0,5.39394,-2.68528,"379","0"
380,1,0,5.37977,-2.68265,"380","0"
381,1,0,5.36566,-2.68002,"381","0"
382,1,0,5.35164,-2.6774,"382","0"
383,1,0,5.33768,-2.67479,"383","0"
384,1,0,5.3238,-2.67219,"384","0"
385,1,0,5.30999,-2.66959,"385","0"
386,1,0,5.29625,-2.667,"386","0"
387,1,0,5.28258,-2.66442,"387","0"
388,1,0,5.26899,-2.66184,"388","0"
389,1,0,5.25546,-2.65927,"389","0"
390,1,0,5.242,-2.6567,"390","0"
391,1,0,5.22861,-2.65415,"391","0"
