Order,a,b,c,RangeStart,RangeEnd
1,0,1.9803,0.126239,0.0630191,0.0644846
1,0,1.95792,0.127682,0.0644846,0.0659502
1,0,1.93628,0.129109,0.0659502,0.0674157
1,0,1.91535,0.130521,0.0674157,0.0688813
1,0,1.89508,0.131917,0.0688813,0.0703469
1,0,1.87544,0.133299,0.0703468,0.0718124
1,0,1.8564,0.134666,0.0718124,0.073278
1,0,1.83793,0.13602,0.073278,0.0747435
1,0,1.81999,0.13736,0.0747435,0.0762091
1,0,1.80258,0.138687,0.0762091,0.0776746
1,0,1.78565,0.140002,0.0776746,0.0791402
1,0,1.76919,0.141305,0.0791402,0.0806058
1,0,1.75318,0.142595,0.0806058,0.0820713
1,0,1.73759,0.143874,0.0820713,0.0835369
1,0,1.72242,0.145142,0.0835369,0.0850024
1,0,1.70763,0.146399,0.0850024,0.086468
1,0,1.69322,0.147645,0.086468,0.0879336
1,0,1.67917,0.148881,0.0879336,0.0893991
1,0,1.66546,0.150106,0.0893991,0.0908647
1,0,1.65208,0.151322,0.0908647,0.0923302
1,0,1.63902,0.152528,0.0923302,0.0937958
1,0,1.62627,0.153724,0.0937958,0.0952614
1,0,1.6138,0.154911,0.0952614,0.0967269
1,0,1.60162,0.156089,0.0967269,0.0981925
1,0,1.58972,0.157259,0.0981925,0.099658
1,0,1.57807,0.158419,0.099658,0.101124
1,0,1.56667,0.159572,0.101124,0.102589
1,0,1.55552,0.160716,0.102589,0.104055
1,0,1.54461,0.161852,0.104055,0.10552
1,0,1.53392,0.162979,0.10552,0.106986
1,0,1.52345,0.1641,0.106986,0.108451
1,0,1.51319,0.165212,0.108451,0.109917
1,0,1.50313,0.166318,0.109917,0.111383
1,0,1.49328,0.167415,0.111383,0.112848
1,0,1.48361,0.168506,0.112848,0.114314
1,0,1.47413,0.16959,0.114314,0.115779
1,0,1.46483,0.170667,0.115779,0.117245
1,0,1.4557,0.171737,0.117245,0.11871
1,0,1.44674,0.1728,0.11871,0.120176
1,0,1.43795,0.173857,0.120176,0.121641
1,0,1.42931,0.174908,0.121641,0.123107
1,0,1.42083,0.175952,0.123107,0.124573
1,0,1.4125,0.17699,0.124573,0.126038
1,0,1.40431,0.178022,0.126038,0.127504
1,0,1.39626,0.179048,0.127504,0.128969
1,0,1.38835,0.180069,0.128969,0.130435
1,0,1.38057,0.181083,0.130435,0.1319
1,0,1.37292,0.182092,0.1319,0.133366
1,0,1.3654,0.183095,0.133366,0.134831
1,0,1.358,0.184093,0.134831,0.136297
1,0,1.35072,0.185086,0.136297,0.137763
1,0,1.34355,0.186073,0.137763,0.139228
1,0,1.3365,0.187055,0.139228,0.140694
1,0,1.32955,0.188032,0.140694,0.142159
1,0,1.32272,0.189003,0.142159,0.143625
1,0,1.31599,0.18997,0.143625,0.14509
1,0,1.30936,0.190932,0.14509,0.146556
1,0,1.30283,0.191889,0.146556,0.148021
1,0,1.29639,0.192842,0.148021,0.149487
1,0,1.29005,0.193789,0.149487,0.150953
1,0,1.28381,0.194732,0.150953,0.152418
1,0,1.27765,0.195671,0.152418,0.153884
1,0,1.27158,0.196605,0.153884,0.155349
1,0,1.26559,0.197534,0.155349,0.156815
1,0,1.25969,0.19846,0.156815,0.15828
1,0,1.25388,0.199381,0.15828,0.159746
1,0,1.24814,0.200297,0.159746,0.161212
1,0,1.24248,0.20121,0.161212,0.162677
1,0,1.23689,0.202118,0.162677,0.164143
1,0,1.23138,0.203023,0.164143,0.165608
1,0,1.22595,0.203923,0.165608,0.167074
1,0,1.22058,0.20482,0.167074,0.168539
1,0,1.21529,0.205712,0.168539,0.170005
1,0,1.21006,0.206601,0.170005,0.17147
1,0,1.2049,0.207485,0.17147,0.172936
1,0,1.1998,0.208367,0.172936,0.174402
1,0,1.19477,0.209244,0.174402,0.175867
1,0,1.1898,0.210118,0.175867,0.177333
1,0,1.1849,0.210988,0.177333,0.178798
1,0,1.18005,0.211854,0.178798,0.180264
1,0,1.17526,0.212717,0.180264,0.181729
1,0,1.17054,0.213577,0.181729,0.183195
1,0,1.16586,0.214433,0.183195,0.18466
1,0,1.16125,0.215285,0.18466,0.186126
1,0,1.15668,0.216135,0.186126,0.187592
1,0,1.15217,0.216981,0.187592,0.189057
1,0,1.14772,0.217823,0.189057,0.190523
1,0,1.14331,0.218663,0.190523,0.191988
1,0,1.13895,0.219499,0.191988,0.193454
1,0,1.13465,0.220332,0.193454,0.194919
1,0,1.13039,0.221162,0.194919,0.196385
1,0,1.12618,0.221989,0.196385,0.197851
1,0,1.12202,0.222812,0.197851,0.199316
